run_id,epochs,lr,batch_size,window_size,hidden_dim,fc_dim,num_layers_lstm,loop_type,c_mse,c_mae,T_PM_mse,T_PM_mae,d50_mse,d50_mae,d90_mse,d90_mae,d10_mse,d10_mae,T_TM_mse,T_TM_mae
1752704791,30,0.0005,64,10,128,64,2,closed,1.2523053935594708e-08,7.064025903335865e-05,0.008160749575035998,0.057229490066588645,6.396340811143662e-13,6.076079626965709e-07,8.984239207860813e-13,7.422195885470213e-07,7.457438092425434e-13,6.608096419599076e-07,0.008881260444963544,0.0518375958352438
1752704791,30,0.0005,64,10,128,64,2,open,2.514021731953419e-06,0.0006714032904431222,2.432572805206478,0.5531264020624926,2.6630239527845825e-09,2.3835396270282238e-05,6.89998636430646e-09,4.257724330670669e-05,9.792594871448424e-10,1.6380054354293773e-05,1.9677589940037208,0.4759321136365565
1752704899,30,0.0005,64,15,128,64,2,closed,2.5181334444592244e-08,0.00010971256951754499,0.009498435130548837,0.0699582666784938,1.5426871145142526e-12,8.313189496034968e-07,1.6055956745459813e-12,9.33071627710276e-07,2.4463511707468322e-12,1.2651511515092245e-06,0.010766590493574917,0.06956209416419505
1752704899,30,0.0005,64,15,128,64,2,open,1.2918055167878753e-06,0.0005915108362280962,0.3565755208999103,0.274821333045571,6.03643384147086e-10,1.7376634324337466e-05,7.929512837694028e-10,2.033005744220984e-05,1.2377954699955666e-09,2.8601134402674912e-05,0.3502144354044061,0.2594064957491749
1752705004,30,0.0005,64,20,128,64,2,closed,2.3922176632202248e-08,0.00012071873644211525,0.012230694644396498,0.07559969818677025,2.55911979086758e-12,1.3581814834314191e-06,2.8274839073611334e-12,1.4455041037342348e-06,2.9945449468865866e-12,1.473027070744349e-06,0.014676737569135737,0.07895874772693585
1752705004,30,0.0005,64,20,128,64,2,open,1.5769283445396693e-06,0.0009106590884249996,0.32345498035941456,0.29744952098808847,2.7310255176354667e-09,4.381247540971028e-05,2.640166795379921e-09,4.4476753140878885e-05,4.4812875317956585e-09,5.7091699135326976e-05,0.26657469005467194,0.24481530417695394
1752705108,30,0.001,64,5,128,64,2,closed,2.1099623195653337e-08,0.0001009003119291944,0.008997393871247426,0.07083312838040462,1.399334303213448e-12,9.019255069837838e-07,1.6594500367527782e-12,1.0118139025797642e-06,1.3003758494057335e-12,8.799143798031428e-07,0.010661684461733654,0.06911809163560532
1752705108,30,0.001,64,5,128,64,2,open,6.302528887882395e-06,0.001009977839308926,1.6073536349727306,0.4560609418273902,6.201511635388692e-10,1.6608935254869763e-05,1.8368666185652942e-09,3.1382749643797076e-05,1.5555695985529984e-09,2.8872631004696998e-05,1.4476489463468354,0.4174388232907549
1752705214,30,0.001,64,10,128,64,2,closed,1.9747080986822815e-08,9.104163536943468e-05,0.013131240767346276,0.08215621679913827,1.5446394414327434e-12,1.0145150885900297e-06,1.6973068160497135e-12,1.051480989222065e-06,1.5271477640453468e-12,9.892168494335437e-07,0.01296543265079194,0.08210690104757908
1752705214,30,0.001,64,10,128,64,2,open,5.175552610801799e-06,0.0015826683007133502,3.932890304340957,1.4197661704082378,2.5376862638400446e-09,4.1919919645257194e-05,1.883602714556539e-09,3.577852778326075e-05,5.388081928640279e-09,6.119334233784446e-05,3.1762546784249084,1.2598919370765653
1752705319,30,0.001,64,15,128,64,2,closed,2.48627430448877e-08,0.00011449253448391588,0.015388804136982681,0.09290536093476534,2.6956583877327412e-12,1.327508053671073e-06,2.2927170446483392e-12,1.0839170294582096e-06,3.239270661360548e-12,1.5173554662297912e-06,0.016816629358364293,0.09396008793524674
1752705319,30,0.001,64,15,128,64,2,open,1.8841289320459912e-06,0.0007678073687274939,0.29773707227830826,0.31746112321067343,1.421950322911236e-09,2.9634362327674338e-05,1.2936201404716356e-09,2.810232865026411e-05,3.000126932477519e-09,4.4980306549870774e-05,0.29931233729858275,0.28299053590628465
1752705424,30,0.001,64,20,128,64,2,closed,2.1939455857725132e-08,0.00011358540307235394,0.03383171944662893,0.1442298243866342,5.749417901340178e-12,1.77134278208354e-06,3.4859113289163125e-12,1.4665485316660987e-06,4.3668022428460025e-12,1.6772759729769076e-06,0.031801665564402046,0.1411843835448153
1752705424,30,0.001,64,20,128,64,2,open,2.680508186824415e-06,0.0010396117160091998,1.348407350667482,0.5525076799282147,1.0670698427666382e-08,6.241263294212314e-05,3.6887719592530815e-09,4.142096562101824e-05,2.2108072693035877e-09,3.428749619885011e-05,1.0628019229963552,0.47480416078528603
1752705532,50,0.0001,64,5,128,64,2,closed,1.6429864691789214e-08,8.577113162743129e-05,0.009847542671212146,0.06492710088504036,1.1562727944787712e-12,7.981164804333337e-07,1.8367413820465853e-12,1.0839552024115187e-06,9.968774109414003e-13,7.372718242923494e-07,0.01195876443195884,0.06832612841455349
1752705532,50,0.0001,64,5,128,64,2,open,2.624179072366025e-07,0.00031050039370385913,0.13715062773004993,0.22087595042626945,2.8195198296273743e-10,1.0625939946769848e-05,7.737471200188195e-10,2.2463739027637103e-05,5.677803719421089e-10,1.532443812205014e-05,0.1320704159858243,0.19594081777724168
1752705697,50,0.0001,64,10,128,64,2,closed,1.317682099232203e-08,7.20235007466628e-05,0.009127767600252683,0.05989785328702412,8.358140211166941e-13,6.689476173370728e-07,1.0067097214506172e-12,7.720152058548609e-07,9.403328029633159e-13,7.21272038380277e-07,0.009730254777262509,0.05068122595012789
1752705697,50,0.0001,64,10,128,64,2,open,2.8505340305139006e-07,0.00028740921536700133,0.08087477604491755,0.1377249006561404,2.0178544167308227e-10,9.429673591674055e-06,6.350864274479893e-10,1.7645039430399895e-05,2.8676304935315173e-10,1.1231344635337708e-05,0.0736580066924403,0.10700567371091263
